tid,algo,outlier_rate,missing_rate,seed,duration,fisher_dist,frobenius_rel,err_mu,n_iter,converged
42,MICE + SCM_robust,0.0,0.2,42,0.08533263206481934,4.218262105110803,0.537034584819409,0.3664862228203737,,True
43,MICE + SCM_robust,0.0,0.2,43,0.1424393653869629,4.016258712751257,0.49971241406128136,0.3752683770026569,,True
44,MICE + SCM_robust,0.0,0.2,44,0.0836801528930664,4.057660901046158,0.5261047699730668,0.36503665709814903,,True
45,MICE + SCM_robust,0.0,0.2,45,0.18187856674194336,4.638955153023365,0.5627402316734527,0.46000040759535943,,True
46,MICE + SCM_robust,0.0,0.2,46,0.11937284469604492,3.860265520166681,0.5046395484599405,0.32321888347974703,,True
47,MICE + SCM_robust,0.0,0.2,47,0.14167547225952148,4.239468982025705,0.5274709901731797,0.37973138665014905,,True
48,MICE + SCM_robust,0.0,0.2,48,0.0901339054107666,3.9063390961945696,0.49526594458467743,0.3266409739237813,,True
49,MICE + SCM_robust,0.0,0.2,49,0.09076237678527832,4.210147535576526,0.5031806418733819,0.36396202292185176,,True
50,MICE + SCM_robust,0.0,0.2,50,0.13023781776428223,4.149141703901591,0.5102403999405657,0.340589573841907,,True
51,MICE + SCM_robust,0.0,0.2,51,0.14095592498779297,4.217198951422368,0.5295867537802075,0.3909230634355012,,True
52,MICE + SCM_robust,0.0,0.2,52,0.10462141036987305,3.8604375995827582,0.4883105849071624,0.4161887880062223,,True
53,MICE + SCM_robust,0.0,0.2,53,0.12119507789611816,4.164156782133218,0.5294317812038274,0.37091289356599433,,True
54,MICE + SCM_robust,0.0,0.2,54,0.14113521575927734,4.1513737862932345,0.49051165536436747,0.2853425345655421,,True
55,MICE + SCM_robust,0.0,0.2,55,0.12666630744934082,3.935261092925484,0.5180744696176477,0.4179281289501594,,True
56,MICE + SCM_robust,0.0,0.2,56,0.12711691856384277,4.037173241182109,0.500843091478976,0.36348005052848253,,True
57,MICE + SCM_robust,0.0,0.2,57,0.13595366477966309,3.8886470241532556,0.49626653712102375,0.3506930416074909,,True
58,MICE + SCM_robust,0.0,0.2,58,0.1384143829345703,4.06864980508495,0.4998525796714222,0.3768727109376664,,True
59,MICE + SCM_robust,0.0,0.2,59,0.11701226234436035,3.3494880689256754,0.45224485492317573,0.4257435555200955,,True
60,MICE + SCM_robust,0.025,0.0,60,0.024146080017089844,3.130409422781798,0.5364774138392051,0.40057506881058585,,True
61,MICE + SCM_robust,0.025,0.0,61,0.023342370986938477,3.3480374287561045,0.5561172931890834,0.3608426684654486,,True
62,MICE + SCM_robust,0.025,0.0,62,0.015404224395751953,3.526651295022075,0.547330900149313,0.3445788210237095,,True
63,MICE + SCM_robust,0.025,0.0,63,0.028603792190551758,2.878819159390599,0.49539176118641287,0.3479453353638685,,True
64,MICE + SCM_robust,0.025,0.0,64,0.016023874282836914,3.265411025918093,0.5366227966392885,0.3718995538597094,,True
65,MICE + SCM_robust,0.025,0.0,65,0.022660255432128906,2.928552435941986,0.5019373547876338,0.33264869532899266,,True
66,MICE + SCM_robust,0.025,0.0,66,0.016542434692382812,3.0389868290346236,0.5186135881980348,0.40996371446309227,,True
67,MICE + SCM_robust,0.025,0.0,67,0.015301704406738281,3.0605431478945166,0.5019687889062943,0.24229863350751119,,True
68,MICE + SCM_robust,0.025,0.0,68,0.015429019927978516,3.4137037346525094,0.5708006040377728,0.349001710874877,,True
69,MICE + SCM_robust,0.025,0.0,69,0.018038511276245117,3.693969307931316,0.5775747817140767,0.3192421490430301,,True
70,MICE + SCM_robust,0.025,0.0,70,0.014703035354614258,2.4753353412356653,0.45880490598123613,0.27737687257438703,,True
71,MICE + SCM_robust,0.025,0.0,71,0.015658855438232422,2.9000569689120432,0.5198480940104799,0.3427283288912483,,True
72,MICE + SCM_robust,0.025,0.0,72,0.016392230987548828,3.142115747375275,0.5282748868649411,0.3443002478725759,,True
73,MICE + SCM_robust,0.025,0.0,73,0.023637771606445312,2.9711868447066774,0.5001129770097814,0.36230481335653864,,True
74,MICE + SCM_robust,0.025,0.0,74,0.01822972297668457,3.434591779683025,0.5717384883121879,0.36539558709838704,,True
75,MICE + SCM_robust,0.025,0.0,75,0.023384571075439453,3.6156537341721204,0.5803485403132995,0.33723462808116667,,True
76,MICE + SCM_robust,0.025,0.0,76,0.016124248504638672,2.9973828846218034,0.5054530309021932,0.4243426073700421,,True
77,MICE + SCM_robust,0.025,0.0,77,0.01581597328186035,3.2747545879196487,0.5477838866487087,0.4932113534832836,,True
78,MICE + SCM_robust,0.025,0.0,78,0.018887996673583984,3.515853986811295,0.5661130057409683,0.4919154829494937,,True
79,MICE + SCM_robust,0.025,0.0,79,0.021154165267944336,2.9311861114903484,0.5138234134199124,0.4344495946907088,,True
80,MICE + SCM_robust,0.025,0.1,80,0.04526543617248535,3.2430220267550083,0.5415575536001697,0.5998912083991507,,True
81,MICE + SCM_robust,0.025,0.1,81,0.07031655311584473,3.2393572613008748,0.5426405688498224,0.5631107819625987,,True
82,MICE + SCM_robust,0.025,0.1,82,0.04311704635620117,3.2476929152045697,0.556955058470905,0.37530918145454567,,True
83,MICE + SCM_robust,0.025,0.1,83,0.05671215057373047,3.271004416542698,0.5424468197403842,0.39824901002633994,,True
84,MICE + SCM_robust,0.025,0.1,84,0.05603623390197754,3.2881493865682296,0.5437347753004477,0.4651597010533354,,True
85,MICE + SCM_robust,0.025,0.1,85,0.04482460021972656,2.9094480220940273,0.49794338795315957,0.3891115682511717,,True
86,MICE + SCM_robust,0.025,0.1,86,0.07348489761352539,3.2067273729316175,0.5507764693139623,0.466734155247984,,True
87,MICE + SCM_robust,0.025,0.1,87,0.08895254135131836,2.919248235438087,0.5111968015930639,0.3868705507526695,,True
88,MICE + SCM_robust,0.025,0.1,88,0.0568082332611084,3.160558356594335,0.5242919760095597,0.36966357247251364,,True
89,MICE + SCM_robust,0.025,0.1,89,0.0443873405456543,3.370218568528722,0.5823277145500699,0.42467171459714226,,True
90,MICE + SCM_robust,0.025,0.1,90,0.09065413475036621,3.2986758995365024,0.5315172849125422,0.3972908368961667,,True
91,MICE + SCM_robust,0.025,0.1,91,0.09195280075073242,3.5828406971407563,0.5765368374492618,0.3804978280418055,,True
92,MICE + SCM_robust,0.025,0.1,92,0.06998515129089355,2.4880625968169094,0.45288640642028555,0.29364439875117954,,True
93,MICE + SCM_robust,0.025,0.1,93,0.08664298057556152,3.6182066174801784,0.5703961943126544,0.4590950134972348,,True
94,MICE + SCM_robust,0.025,0.1,94,0.0888669490814209,3.1499207864787273,0.5202203908020998,0.46433226690632884,,True
95,MICE + SCM_robust,0.025,0.1,95,0.07600092887878418,3.381818397520407,0.5452246456876154,0.4510999342762148,,True
96,MICE + SCM_robust,0.025,0.1,96,0.04182791709899902,3.4992053458620993,0.561396500007572,0.3407914720032696,,True
97,MICE + SCM_robust,0.025,0.1,97,0.048746347427368164,3.059314831177453,0.5300328456712887,0.3482030776972965,,True
98,MICE + SCM_robust,0.025,0.1,98,0.0651702880859375,2.661850456965682,0.4654486535630552,0.4625819637962786,,True
99,MICE + SCM_robust,0.025,0.1,99,0.1352832317352295,3.3114338942005324,0.5453798693268732,0.49690075534817063,,True
100,MICE + SCM_robust,0.025,0.2,100,0.15812253952026367,3.690379195428113,0.5865549872378774,0.5563803281687889,,True
101,MICE + SCM_robust,0.025,0.2,101,0.09088706970214844,3.549149569508669,0.5652664947542155,0.5075051264425693,,True
102,MICE + SCM_robust,0.025,0.2,102,0.08348536491394043,3.6300669235819654,0.5768213009637059,0.5540665917310321,,True
103,MICE + SCM_robust,0.025,0.2,103,0.16804957389831543,3.242618725729024,0.5322279209553975,0.4409302213086272,,True
104,MICE + SCM_robust,0.025,0.2,104,0.08524417877197266,3.3920495040721925,0.5556934465231141,0.5475427198777922,,True
105,MICE + SCM_robust,0.025,0.2,105,0.1053764820098877,3.267428112294315,0.547826919863044,0.37004227837186093,,True
