tid,algo,outlier_rate,missing_rate,seed,duration,fisher_dist,frobenius_rel,err_mu,n_iter,converged
239,MeanImpute + SCM,0.075,0.2,239,0.0009105205535888672,9.664896424150191,6.489668659877993,0.9441578926196526,,True
240,MeanImpute + SCM,0.1,0.0,240,0.0013735294342041016,10.978315412857961,8.382181587148953,1.0854675193975536,,True
241,MeanImpute + SCM,0.1,0.0,241,0.0013270378112792969,11.165256482557247,9.549142723303763,0.8775864887851081,,True
242,MeanImpute + SCM,0.1,0.0,242,0.001359701156616211,11.363934490297606,9.360238424949763,0.8338097766313516,,True
243,MeanImpute + SCM,0.1,0.0,243,0.001016378402709961,11.170199396145238,9.232460690420124,0.9873127378089007,,True
244,MeanImpute + SCM,0.1,0.0,244,0.0017626285552978516,11.003342153877853,9.15339376291142,1.0203770542207415,,True
245,MeanImpute + SCM,0.1,0.0,245,0.0015325546264648438,11.444104262767944,9.842253454750738,0.8543288864813027,,True
246,MeanImpute + SCM,0.1,0.0,246,0.0015442371368408203,10.99365404931908,8.886676340226986,1.0917696849387701,,True
247,MeanImpute + SCM,0.1,0.0,247,0.0014789104461669922,11.106617517625585,8.7073181227898,0.9163247777596685,,True
248,MeanImpute + SCM,0.1,0.0,248,0.0014328956604003906,11.319175615591053,9.686981876921285,0.9697444149618791,,True
249,MeanImpute + SCM,0.1,0.0,249,0.001367330551147461,11.25406395247537,9.219880952896332,0.7930818444360551,,True
250,MeanImpute + SCM,0.1,0.0,250,0.0013670921325683594,11.55248014950327,10.050472938390971,0.7624794938669608,,True
251,MeanImpute + SCM,0.1,0.0,251,0.0013797283172607422,11.537103558000359,9.843248457866071,0.762721682042941,,True
252,MeanImpute + SCM,0.1,0.0,252,0.0010211467742919922,11.209763563801891,9.064407246255033,0.8847001266353436,,True
253,MeanImpute + SCM,0.1,0.0,253,0.0009739398956298828,11.144764132061606,8.909313984629385,0.7230956596945081,,True
254,MeanImpute + SCM,0.1,0.0,254,0.0010721683502197266,11.022966560899853,9.36717141232094,0.9173224996856154,,True
255,MeanImpute + SCM,0.1,0.0,255,0.0010242462158203125,11.449239564087684,9.49448986915934,1.0166407677505704,,True
256,MeanImpute + SCM,0.1,0.0,256,0.0013768672943115234,10.713181895389438,8.868040927945696,0.8415700508788974,,True
257,MeanImpute + SCM,0.1,0.0,257,0.001344442367553711,11.604816671472264,10.5588088272484,0.9612723130563509,,True
258,MeanImpute + SCM,0.1,0.0,258,0.0013227462768554688,10.919013852123047,8.905320322866368,0.9346830598354913,,True
259,MeanImpute + SCM,0.1,0.0,259,0.001341104507446289,11.004874340479176,8.98318775130841,0.9072134774253583,,True
260,MeanImpute + SCM,0.1,0.1,260,0.0016112327575683594,10.574044917006113,8.304244216364312,0.8240500113165574,,True
261,MeanImpute + SCM,0.1,0.1,261,0.002537965774536133,10.78438122397343,8.40639657168731,0.8934032911122757,,True
262,MeanImpute + SCM,0.1,0.1,262,0.0017287731170654297,10.784226828871862,8.516159034688688,0.6691322552038136,,True
263,MeanImpute + SCM,0.1,0.1,263,0.0016143321990966797,10.315115823712615,7.9056640423733855,0.9102336274839633,,True
264,MeanImpute + SCM,0.1,0.1,264,0.0011262893676757812,10.813563140875925,7.953251671076581,0.9123801233119567,,True
265,MeanImpute + SCM,0.1,0.1,265,0.0010652542114257812,10.708439489861284,8.06325051698916,0.8909140506095568,,True
266,MeanImpute + SCM,0.1,0.1,266,0.0011942386627197266,10.720203848411082,8.126245091680392,1.0829907943186696,,True
267,MeanImpute + SCM,0.1,0.1,267,0.0013284683227539062,10.944276087028133,9.146780957286714,0.6595634997818183,,True
268,MeanImpute + SCM,0.1,0.1,268,0.0014727115631103516,10.796905113191196,8.069610444985859,1.0859216140814498,,True
269,MeanImpute + SCM,0.1,0.1,269,0.0014660358428955078,10.737289259962346,8.722356692326697,0.9858792903650186,,True
270,MeanImpute + SCM,0.1,0.1,270,0.0014829635620117188,10.50927109834137,8.225511285849409,0.8320797645849379,,True
271,MeanImpute + SCM,0.1,0.1,271,0.001478433609008789,10.784541882466606,8.629926627587336,0.9154548432740002,,True
